term,definition,disciplines,url
concession,"1. (n.) [Oil and Gas Business] A grant extended by a government to permit a company to explore for and produce oil, gas or mineral resources within a strictly defined geographic area, typically beneath government-owned lands or lands in which the government owns the rights to produce oil, gas or minerals. The grant is usually awarded to a company in consideration for some type of bonus or license fee and royalty or production sharing provided to the host government for a specified period of time. | 2. (n.) [Oil and Gas Business] The geographic area in which the government allows a company to operate.",Oil and Gas Business,https://glossary.slb.com/en/terms/c/concession
conveyance,"[Oil and Gas Business] A written contract between a grantor and grantee, used to transfer title or rights to real estate or property. Typical conveyances include oil, gas, and mineral leases; assignments; deeds; and rights of way.",Oil and Gas Business,https://glossary.slb.com/en/terms/c/conveyance
cost oil,[Oil and Gas Business] A portion of produced oil that the operator applies on an annual basis to recover defined costs specified by a production sharing contract.,Oil and Gas Business,https://glossary.slb.com/en/terms/c/cost_oil
delay rental,"[Oil and Gas Business] Consideration paid to the lessor by a lessee to extend the terms of an oil and gas lease in the absence of operations and/or production that is contractually required to hold the lease. This consideration is usually required to be paid on or before the anniversary date of the oil and gas lease during its primary term, and typically extends the lease for an additional year. Nonpayment of the delay rental in the absence of production or commencement of operations will result in abandonment of the lease after its primary term has expired.",Oil and Gas Business,https://glossary.slb.com/en/terms/d/delay_rental
division order,[Oil and Gas Business] An agreement between the operator and net revenue interest (NRI) owner in which the parties specify the fractional type of interest attributed to the NRI owner by the operator after an examination of title.,Oil and Gas Business,https://glossary.slb.com/en/terms/d/division_order
due diligence,"[Oil and Gas Business] The process of examining a seller’s property and records before a prospective buyer commits to its purchase. In the oil and gas business, due diligence may entail scrutiny of financial records, geological maps, well logs, surveyor notes, geophysical records, well tests, production statistics, legal records and other data pertaining to a well or lease.",Oil and Gas Business,https://glossary.slb.com/en/terms/d/due_diligence
farmee,"[Oil and Gas Business] The party that acquires the rights to drill and earn an assignment of the leasehold interest, receiving a farm-in.",Oil and Gas Business,https://glossary.slb.com/en/terms/f/farmee
farmor,[Oil and Gas Business] The party that originally owns the leasehold interest and assigns the farmout.,Oil and Gas Business,https://glossary.slb.com/en/terms/f/farmor
farmout,"[Oil and Gas Business] A contractual agreement with an owner who holds a working interest in an oil and gas lease to assign all or part of that interest to another party in exchange for fulfilling contractually specified conditions. The farmout agreement often stipulates that the other party must drill a well to a certain depth, at a specified location, within a certain time frame; furthermore, the well typically must be completed as a commercial producer to earn an assignment. The assignor of the interest usually reserves a specified overriding royalty interest, with the option to convert the overriding royalty interest to a specified working interest upon payout of drilling and production expenses, otherwise known as a back-in after payout (BIAPO).",Oil and Gas Business,https://glossary.slb.com/en/terms/f/farmout
fee-simple interest,"[Oil and Gas Business] Ownership of the entire and absolute right or interest to use or exploit a tract of land from the center of the earth to the stars, including the air, surface and minerals.",Oil and Gas Business,https://glossary.slb.com/en/terms/f/fee-simple_interest
foreign content,"[Oil and Gas Business] The amount of foreign personnel, material and services that working interest owners are permitted to employ, as defined under the terms of a concession when drilling and operating a well.",Oil and Gas Business,https://glossary.slb.com/en/terms/f/foreign_content
government take,"[Oil and Gas Business] The total amount of revenue that a host government receives from production. This amount can include taxes, royalties and government participation.",Oil and Gas Business,https://glossary.slb.com/en/terms/g/government_take
HBP,[Oil and Gas Business] Abbreviation for held by production.,Oil and Gas Business,https://glossary.slb.com/en/terms/h/hbp
held by production,"[Oil and Gas Business] A provision in an oil, gas, and mineral lease that perpetuates a company's right to operate a property or concession as long as the property or concession produces a minimum paying quantity of oil or gas. Also abbreviated as HBP.",Oil and Gas Business,https://glossary.slb.com/en/terms/h/held_by_production
horizontal severance,"[Oil and Gas Business] A method to convey or reserve oil, gas or mineral rights at specific depths or geologic horizons.",Oil and Gas Business,https://glossary.slb.com/en/terms/h/horizontal_severance
lessor royalty,"[Oil and Gas Business] A percentage share of production, or the value derived from production, which is granted to the lessor in the oil and gas lease, and which is free of the costs of drilling and producing.",Oil and Gas Business,https://glossary.slb.com/en/terms/l/lessor_royalty
licensing round,"[Oil and Gas Business] An occasion when a governmental body offers exploration acreage for leasing by exploration and production companies, typically in return for a fee and a performance or work obligation, such as acquisition of seismic data or drilling a well. Exploration licenses are initially of limited duration (about 5 years) after which there might be a requirement to return half or more of the licensed acreage to the state. If hydrocarbons are discovered, a separate production license or production-sharing agreement is usually drawn up before development can proceed.",Oil and Gas Business,https://glossary.slb.com/en/terms/l/licensing_round
local content,"[Oil and Gas Business] The amount of local personnel, material and services that working interest owners are required to employ when drilling and operating a well, as specified under the terms of a concession agreement.",Oil and Gas Business,https://glossary.slb.com/en/terms/l/local_content
marketing agreement,"[Oil and Gas Business] An agreement by which a party sells production on behalf of a producing company and then remits the proceeds, minus agreed-upon costs and expenses, to the producing company.",Oil and Gas Business,https://glossary.slb.com/en/terms/m/marketing_agreement
mineral interest,"[Oil and Gas Business] Ownership of the right to exploit, mine or produce all minerals lying beneath the surface of a property. In this case, minerals include all hydrocarbons. Mineral interests include the right to use as much of the surface as is reasonably necessary to access the minerals the right to execute any conveyances of mineral rights the right to receive bonus consideration the right to receive delay rentals the right to receive royalty. Any or all of the above five rights of mineral ownership may be conveyed by the mineral owner.",Oil and Gas Business,https://glossary.slb.com/en/terms/m/mineral_interest
multiple service contract,[Oil and Gas Business] A contract between a host country and an operator that specifies the services and costs of services that the operator must use in the development of a concession.,Oil and Gas Business,https://glossary.slb.com/en/terms/m/multiple_service_contract
net profits interest,[Oil and Gas Business] A share of net proceeds from production paid solely from the working interest owners share. It is sometimes granted in lieu of a royalty interest.,Oil and Gas Business,https://glossary.slb.com/en/terms/n/net_profits_interest
net revenue interest,"[Oil and Gas Business] A share of production after all burdens, such as royalty and overriding royalty, have been deducted from the working interest. It is the percentage of production that each party actually receives.",Oil and Gas Business,https://glossary.slb.com/en/terms/n/net_revenue_interest
nonparticipating royalty,"[Oil and Gas Business] A percentage share of production, or the value derived from production, which is free of the costs of drilling and producing, created by the lessor or royalty owner and borne by the lessor or royalty owner out of the lessor royalty. This royalty is paid to nonparticipating interest holders who do not share or participate in bonus or rentals, or a right to explore, or a right to execute oil and gas leases.",Oil and Gas Business,https://glossary.slb.com/en/terms/n/nonparticipating_royalty
nonparticipating royalty interest,"[Oil and Gas Business] Ownership in a share of production, paid to an owner who does not share in the right to explore or develop a lease, or receive bonus or rental payments. It is free of the cost of production, and is deducted from the royalty interest.",Oil and Gas Business,https://glossary.slb.com/en/terms/n/nonparticipating_royalty_interest
oil and gas lease,"[Oil and Gas Business] A contract between mineral owner, otherwise known as the lessor, and a company or working interest owner, otherwise known as the lessee, in which the lessor grants the lessee the right to explore, drill, and produce oil, gas, and other minerals for a specified primary term and as long thereafter as oil, gas, or other minerals are being produced in paying quantities. This lease gives the lessee a working interest. The oil and gas lease is granted in exchange for royalty payments to the lessor.",Oil and Gas Business,https://glossary.slb.com/en/terms/o/oil_and_gas_lease
operating agreement,"[Oil and Gas Business] An agreement between parties who own a working interest in a well that sets out responsibilities and duties of the operator and nonoperators, including drilling the test well and subsequent wells, and sharing of expenses and accounting methods.",Oil and Gas Business,https://glossary.slb.com/en/terms/o/operating_agreement
operating interest,"[Oil and Gas Business] Ownership by a lessee, company or working interest owner, which is burdened with the costs of leasing the acreage and drilling and operating a well.",Oil and Gas Business,https://glossary.slb.com/en/terms/o/operating_interest
operator,"1. (n.) [Drilling] The company that serves as the overall manager and decision-maker of a drilling project. Generally, but not always, the operator will have the largest financial stake in the project. At the successful completion of logging the target zones, the decision to complete or plug and abandon generally has partner input and potential override clauses. As far as the drilling contractor and service companies are concerned, the designated operator is paying for the entire operation, and the operator is responsible for recouping some of that expense from the partners. | 2. (n.) [Oil and Gas Business] The owner of the right to drill or produce a well, or the entity contractually charged with drilling of a test well and production of subsequent wells.",Drilling; Oil and Gas Business,https://glossary.slb.com/en/terms/o/operator
overriding royalty,"[Oil and Gas Business] A percentage share of production, or the value derived from production, which is free of all costs of drilling and producing, and is created by the lessee or working interest owner and paid by the lessee or working interest owner.",Oil and Gas Business,https://glossary.slb.com/en/terms/o/overriding_royalty
overriding royalty interest,"[Oil and Gas Business] Ownership in a percentage of production or production revenues, free of the cost of production, created by the lessee, company and/or working interest owner and paid by the lessee, company and/or working interest owner out of revenue from the well.",Oil and Gas Business,https://glossary.slb.com/en/terms/o/overriding_royalty_interest
paid-up lease,[Oil and Gas Business] An oil and gas lease in which delay rentals for the entire primary term are paid in advance with the bonus consideration.,Oil and Gas Business,https://glossary.slb.com/en/terms/p/paid-up_lease
participating interest,"[Oil and Gas Business] The proportion of exploration and production costs each party will bear and the proportion of production each party will receive, as set out in an operating agreement.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/participating_interest
payout,"[Oil and Gas Business] The point at which all costs of leasing, exploring, drilling and operating have been recovered from production of a well or wells as defined by contractual agreement.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/payout
pooling,"[Oil and Gas Business] The accumulation of smaller tracts of land, the sum total acreage of which are required for a governmental agency to grant a well permit or assign a production quota or allowable to an operator.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/pooling
preferential right to operate,"[Oil and Gas Business] The right that a party has reserved or acquired to operate a lease, well, unit, or concession.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/preferential_right_to_operate
preferential right to purchase,"[Oil and Gas Business] The right that nonselling participating parties have in a lease, well or unit to proportionately acquire the interest that a participating party proposes to sell to a third party.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/preferential_right_to_purchase
primary term,"[Oil and Gas Business] The period of time during which an oil and gas lease will be in effect, in the absence of production, drilling or other operations specified by the lease. The oil and gas lease can be perpetuated past the primary term by production in paying quantities, drilling, operations and/or the payment of shut-in royalties specified by the lease.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/primary_term
production bonus,[Oil and Gas Business] Payment by a well operator to a host country upon achievement of certain levels of production.,Oil and Gas Business,https://glossary.slb.com/en/terms/p/production_bonus
production payment,"[Oil and Gas Business] A portion of proceeds from production, specified by contract, and payable to the lessor or farmor, or host country until total payment has reached a predetermined limit specified by contract.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/production_payment
production penalty,[Oil and Gas Business] A fine paid to the host country for failure to attain specified production rates over a defined period of time.,Oil and Gas Business,https://glossary.slb.com/en/terms/p/production_penalty
production service contract,[Oil and Gas Business] An agreement between the parties to a well or wells and a host country to utilize specified goods and services from that country.,Oil and Gas Business,https://glossary.slb.com/en/terms/p/production_service_contract
production sharing contract,[Oil and Gas Business] An agreement between the parties to a well and a host country regarding the percentage of production each party will receive after the participating parties have recovered a specified amount of costs and expenses.,Oil and Gas Business,https://glossary.slb.com/en/terms/p/production_sharing_contract
profit oil,"[Oil and Gas Business] The amount of production, after deducting cost oil production allocated to costs and expenses, that will be divided between the participating parties and the host government under the production sharing contract.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/profit_oil
proration unit,"[Oil and Gas Business] The amount of acreage, determined by governmental authority that can be efficiently and economically drained by a well at a particular depth or horizon.",Oil and Gas Business,https://glossary.slb.com/en/terms/p/proration_unit
quitclaim,"1. (vb.) [Oil and Gas Business] To convey whatever interests a grantor has at the time this particular instrument is executed. The grantor does this without warranty of title, either express or implied. | 2. (n.) [Oil and Gas Business] A legal instrument of conveyance that is usually used in title curative work to allow an owner or claimant to quit or give up their claim to a title.",Oil and Gas Business,https://glossary.slb.com/en/terms/q/quitclaim
regulatory body,[Oil and Gas Business] An organization appointed by the government or industry to establish standards and ensure their compliance.,Oil and Gas Business,https://glossary.slb.com/en/terms/r/regulatory_body
relinquishment,"[Oil and Gas Business] The return of part or all of a lease or concession to a lessor, farmor or host government. The return may be voluntary or compelled contractually.",Oil and Gas Business,https://glossary.slb.com/en/terms/r/relinquishment
right of first refusal,"[Oil and Gas Business] The right that other parties to a lease, well, unit and/or concession have to acquire the interest that a selling party owns prior to selling to any third party.",Oil and Gas Business,https://glossary.slb.com/en/terms/r/right_of_first_refusal
royalty,"[Oil and Gas Business] A percentage share of production, or the value derived from production, paid from a producing well.",Oil and Gas Business,https://glossary.slb.com/en/terms/r/royalty
royalty interest,"[Oil and Gas Business] Ownership of a percentage of production or production revenues, produced from leased acreage. The owner of this share of production does not bear any of the cost of exploration, drilling, producing, operating, marketing or any other expense associated with drilling and producing an oil and gas well.",Oil and Gas Business,https://glossary.slb.com/en/terms/r/royalty_interest
secondary term,"[Oil and Gas Business] The term of an oil and gas lease in which the lease is held in force after expiration of the primary term. Production, operations, continuous drilling and/or shut-in royalty payments are often used to extend an oil and gas lease into its secondary term.",Oil and Gas Business,https://glossary.slb.com/en/terms/s/secondary_term
severance,"[Oil and Gas Business] The separation of mineral and/or royalty interest from fee-simple title. Severance of interests is usually accomplished by reservation in a deed or assignment or by conveyance in mineral or royalty deed, assignment or lease.",Oil and Gas Business,https://glossary.slb.com/en/terms/s/severance
shut-in royalty,"[Oil and Gas Business] A payment stipulated in the oil and gas lease, which royalty owners receive in lieu of actual production, when a gas well is shut-in due to lack of a suitable market, a lack of facilities to produce the product, or other cases defined within the shut-in provisions contained in the oil and gas lease.",Oil and Gas Business,https://glossary.slb.com/en/terms/s/shut-in_royalty
spacing unit,[Oil and Gas Business] An area allotted to a well by regulations or field rules issued by a governmental authority having jurisdiction for the drilling and production of a well.,Oil and Gas Business,https://glossary.slb.com/en/terms/s/spacing_unit
surface interest,"[Oil and Gas Business] Ownership of the right or interest to exploit the surface of the land. Some landowners only have rights to the surface of their tract, while the government or other entity owns rights to any production obtained beneath that tract.",Oil and Gas Business,https://glossary.slb.com/en/terms/s/surface_interest
technical evaluation agreement (TEA),"[Oil and Gas Business] An agreement between a host country and operator to allow the operator to evaluate geological, geophysical, engineering and transportation issues involving a concession. Also known as a TEA.",Oil and Gas Business,https://glossary.slb.com/en/terms/t/technical_evaluation_agreement
term lease,"[Oil and Gas Business] An oil and gas lease that expires after a specified period of time, regardless of whether oil, gas and/or other minerals are being produced.",Oil and Gas Business,https://glossary.slb.com/en/terms/t/term_lease
top lease,"[Oil and Gas Business] An oil and gas lease wherein the bonus consideration is paid at the signing of the lease. However, this lease becomes effective only after the expiration or termination of an existing lease on the tract of land.",Oil and Gas Business,https://glossary.slb.com/en/terms/t/top_lease
unitization,[Oil and Gas Business] The combining of multiple wells to produce from a specified reservoir.,Oil and Gas Business,https://glossary.slb.com/en/terms/u/unitization
vertical severance,"[Oil and Gas Business] A method to convey or reserve oil, gas, or mineral rights in a defined portion of land such as the Northwest Quarter of a tract.",Oil and Gas Business,https://glossary.slb.com/en/terms/v/vertical_severance
working interest,"[Oil and Gas Business] A percentage of ownership in an oil and gas lease granting its owner the right to explore, drill and produce oil and gas from a tract of property. Working interest owners are obligated to pay a corresponding percentage of the cost of leasing, drilling, producing and operating a well or unit. After royalties are paid, the working interest also entitles its owner to share in production revenues with other working interest owners, based on the percentage of working interest owned.",Oil and Gas Business,https://glossary.slb.com/en/terms/w/working_interest
